yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
12.40583333,12.09916667,8.951666667,7.920833333,9.314166667,8.032916667,9.87875,10.16875,7.73625,7.814166667,12.82666667,10.95,9.76,4.04,4.58,6.96,5.65,7.36,6.7,4.88,6.07,9.12,14.36,14.76,11.96,12.81,11.16,10.71,12.23,14.28,12.87,10.63,16.27,19-Jun,8.21,11.86
11.35208333,13.28041667,8.549583333,6.094583333,12.29041667,7.49375,12.11791667,9.914583333,7.876666667,7.646666667,12.66458333,7.05,10.77,4.08,1.98,10.2,4.85,10.91,6.04,4.34,6.23,8.93,13.1,15.18,12.22,12.42,14.61,11.15,12.6,14.43,13.31,9.56,14.51,20-Jun,8.21,11.86
7.3125,9.395833333,10.0575,6.207083333,12.23333333,6.383333333,11.11833333,10.31083333,8.09875,8.599166667,9.001666667,4.3,7.83,9.49,1.71,9.88,3.28,10.02,8.1,3.65,6.99,7.09,12.15,14.84,12.08,13.24,14.69,11.48,12.85,12.82,13.64,11.44,11.45,21-Jun,8.21,11.86
7.230416667,10.04666667,8.964583333,5.942916667,11.38291667,9.273333333,11.82666667,9.277083333,8.475,8.29375,9.725833333,3.68,7.61,6.43,1.19,8.33,4.54,10.23,5.53,4.95,6.07,8.11,12.61,12.28,10.6,12.86,14.9,12.44,13.62,13.12,13.35,11.1,12,22-Jun,8.21,11.86
9.01375,11.78791667,8.984166667,6.564583333,11.38458333,13.18583333,10.87791667,9.967916667,8.892916667,6.635,11.07916667,4.51,10.13,5.59,1.43,7.52,10.98,7.3,7.13,6.62,4.03,8.95,15.38,13.82,12.48,13.21,13.49,15.79,13.46,12.87,11.38,10.77,13.38,23-Jun,8.21,11.86
12.62458333,12.3075,11.37958333,7.5425,9.535416667,12.58,6.8125,9.247916667,9.719166667,5.485416667,11.82916667,8.1,9.93,9.9,2.97,7.05,10.47,5.69,7.5,8.11,1.5,10.24,15.82,15.03,13.92,12.71,12.06,15.04,8.05,11.17,11.97,12.23,14.11,24-Jun,8.21,11.86
12.85125,12.26083333,10.72666667,10.37375,11.67875,10.44125,7.414583333,10.1575,9.197083333,6.720833333,11.42333333,9.24,9.15,7.03,5.9,10,8.83,5.34,7.81,7.49,1.4,9.18,14.6,14.71,13.2,14.69,14,12.63,11.24,13.08,11.53,14.61,14.27,25-Jun,8.21,11.86
8.487083333,11.51416667,7.468333333,7.44875,12.31833333,10.84041667,6.642916667,9.3875,8.5175,7.870833333,8.970833333,6.77,9.17,4.39,2.6,10.15,8.65,3.43,7.34,6.13,2.84,6.92,10.61,14.65,9.92,14.88,14.15,13.71,9.99,11.66,12.04,15.73,12,26-Jun,8.21,11.86
7.361666667,10.79666667,6.7025,8.835416667,11.99208333,10.29333333,8.00125,8.415,7.059166667,10.43,7.6775,4.34,8.1,3.13,3.77,10.35,8.26,5.82,5.78,4.55,5.07,4.73,11.1,14.25,12.01,15.77,13.78,13.1,10.74,11.21,11.39,16.05,11.41,27-Jun,8.21,11.86
6.727916667,8.689166667,10.37375,9.120416667,10.40125,10.4725,10.0025,9.69875,6.237083333,13.81958333,5.965833333,3.44,6.33,6.16,4.81,9.13,8.75,6.59,7.77,3.45,10.72,2.33,10.26,13.15,13.48,14.74,12.13,12.91,13.87,13.11,9.18,17.56,10.72,28-Jun,8.21,11.86
