yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
10.52958333,17.48958333,12.1825,12.08208333,10.47041667,11.43541667,10.7925,10.28041667,9.481666667,15.15166667,17.47583333,8.3,8,9.67,10.16,7.16,5.56,8.39,7.55,6.43,6.87,12.09,13.06,25.5,15.78,14.71,13.9,18.3,14.07,12.71,12.85,21.59,23.29,19-Sep,1.71,26.03
11.71833333,11.45875,14.91625,11.60041667,11.15166667,14.32541667,12.82125,11.61541667,10.00083333,20.17416667,18.01625,9.79,9.3,10.37,9.14,8.3,8.46,8.89,5.58,4.64,17.49,16.24,13.7,13.86,20.04,14.3,14.28,20.13,16.7,17.17,15.38,23.4,20.75,20-Sep,1.71,26.03
11.42125,13.42583333,13.83958333,12.13708333,10.99083333,12.9525,12.18291667,14.82208333,12.1425,15.93333333,15.93041667,9.31,9.33,11.09,6.87,7.33,9.37,10.06,11.19,8.32,9.91,12.83,13.02,18.28,15.64,17.27,15.04,15.86,15.19,20.26,16.94,20.26,18.28,21-Sep,1.71,26.03
10.9225,17.07375,13.24958333,14.07958333,12.40375,8.989583333,11.13666667,15.35083333,11.675,10.52833333,13.11416667,8.83,11.27,10.52,11.41,4.1,7.63,9.96,8.87,6.76,6.53,10.74,13.35,22.68,17.61,18.05,20.41,10.74,12.46,21.61,15.96,13.9,16.54,22-Sep,1.71,26.03
11.16375,12.05875,13.32875,16.12708333,15.98041667,8.751666667,12.135,18.45208333,10.4725,10.16666667,11.04166667,9.35,8.21,10.07,8.24,9.25,6.45,9.35,12.69,8.63,8.07,9.13,13.22,17.92,16.1,21.51,23.04,11.83,15.78,25.87,12.16,12.88,13.04,23-Sep,1.71,26.03
11.28208333,10.015,9.69875,17.54375,16.6925,9.470416667,13.44875,14.24791667,10.35583333,10.29916667,10.25125,8.25,6.96,6.85,12.23,13.46,4.85,9.67,11.39,6.39,7.15,7.45,15.27,13.43,12.4,20.76,21.72,13.82,17.47,17.32,14.53,13.69,13.06,24-Sep,1.71,26.03
12.63458333,11.76625,10.0925,17.24708333,13.03708333,10.8925,11.14958333,11.14,9.475416667,10.725,8.235416667,9.6,7.67,5.88,13.34,10.81,5.41,8.64,8.16,6.48,7.18,6.67,17.04,17.41,15.45,20.67,14.21,16.02,13.23,12.91,13.01,14.6,10.09,25-Sep,1.71,26.03
13.18666667,12.19541667,13.50375,11.94083333,12.29583333,11.37708333,11.01875,9.776666667,10.50041667,12.1775,9.410833333,8.83,5.24,6.05,8.63,9.37,7.18,7.95,5.41,4.3,6.56,6.48,18.61,18.7,19.28,13.24,15.86,16.51,14.73,13.88,17.19,17.27,11.87,26-Sep,1.71,26.03
12.1125,15.12291667,18.86833333,12.64375,15.20916667,11.79625,10.39041667,13.49083333,14.45,12.14833333,9.739166667,9,10.52,12.53,6.73,8.97,6.57,6.74,7.5,8.39,8.99,7.35,14.75,19.24,23.66,18.18,20.84,17.58,13.78,21.09,21.7,17.26,12.59,27-Sep,1.71,26.03
9.239166667,17.11958333,13.3725,11.23416667,19.89,12.79666667,12.68041667,12.70458333,10.54041667,10.07291667,9.43375,6.61,13.2,10.51,8.32,15.45,7.36,7.37,10.6,7.3,7.46,6.26,12.03,20.14,15.96,13.96,24.9,19.42,17.45,15.21,12.77,12.73,13.35,28-Sep,1.71,26.03
8.562083333,11.53916667,8.79,13.69666667,16.25833333,11.57083333,12.56166667,12.37083333,9.135416667,10.955,11.65416667,5.85,9.55,6.09,7.37,12.38,7.55,9.28,8.29,5.6,8.93,3.48,11.56,13.2,10.91,19.71,20.62,15.06,14.84,16.41,12.8,14.04,18.35,29-Sep,1.71,26.03
9.418333333,11.1,9.798333333,18.31666667,13.88458333,11.29208333,11.25041667,11.7725,10.62333333,10.55833333,14.32166667,5.19,9.41,6.88,15.78,8.25,7.21,8.56,9.47,7.03,7.15,11.7,13.31,14.11,13.31,22.27,21.34,14.27,14.15,14.39,14.62,13.24,16.87,30-Sep,1.71,26.03
10.505,10.31416667,11.50666667,14.01416667,10.61166667,12.19291667,12.98875,11.76875,12.45625,11.75333333,12.83333333,5.41,8.51,8.65,9.62,7.47,4.52,11.02,8.71,4.59,3.91,8.24,15.18,12.81,14.8,20.61,13.79,19.7,15.6,15.3,20.14,19.09,17.21,1-Oct,1.71,26.03
11.865,10.5425,12.91125,11.96583333,12.15458333,16.87875,16.27416667,11.40541667,16.18125,16.32958333,17.93875,4.55,7.1,9.94,9.54,9.51,9.53,11,8.18,10.04,7.89,12.06,18.85,14.38,18.17,15.34,15.49,24.23,20.87,15.78,21.21,24.17,23.96,2-Oct,1.71,26.03
15.52583333,10.80333333,15.9675,10.25458333,12.63375,21.70291667,12.36625,12.80625,15.02375,17.73791667,21.34041667,8.67,4.98,8.6,7.79,9.16,15.56,10.31,5.69,10.96,13.07,16.5,22.49,16.69,24.03,13.13,16.6,27.83,15.24,19.96,19.5,25.25,26.03,3-Oct,1.71,26.03
17.29333333,12.60125,18.91666667,12.49208333,16.6275,18.71541667,11.1225,15.02625,12.01166667,11.65583333,19.32708333,13.82,5.01,12.84,6.18,7.89,12.7,9.07,7.76,9.44,9.83,12.29,20.91,19.59,26.75,18.38,24.02,23.85,14.16,22.07,14.74,13.24,25.49,4-Oct,1.71,26.03
14.28125,14.33625,12.47125,15.97625,13.62708333,21.55666667,11.77916667,15.39458333,13.10583333,13.36041667,10.61541667,11.77,8.75,9.82,12.68,9.46,11.27,8.15,10.22,8.34,7.84,9.29,17.35,19.37,14.81,22.31,16.1,30.7,15.38,18.07,18.36,17.82,11.81,5-Oct,1.71,26.03
14.98166667,14.43125,9.830416667,12.59375,15.46625,21.97791667,16.96291667,11.72125,14.08625,18.975,10.33916667,9.65,11.91,8.17,9.86,8.3,13.37,10.22,9.69,6.9,13.04,9.46,21.18,17.72,11.24,14.95,22.65,31.37,23.05,14.72,20.96,21.65,11.03,6-Oct,1.71,26.03
10.54958333,14.26458333,10.39,11.50541667,13.06125,12.25208333,16.43875,13.6575,15.48166667,12.48416667,12.70083333,7.21,10.92,7.62,7.96,10.61,9.02,11.37,6.72,7.92,10.43,9.87,13.26,18.52,13.01,14.77,15.31,15.74,18.84,19.9,21.97,14.71,14.54,7-Oct,1.71,26.03
11.80291667,13.84083333,10.31416667,13.48125,12.83916667,12.88333333,11.78416667,17.92958333,17.54625,10.52791667,14.4675,9.03,11.01,7.86,9.96,8.98,6.37,8.38,14.46,10.65,8.85,12.43,14.7,16.71,13.2,18.03,16.75,19.76,15.5,22.21,24.56,12.33,16.01,8-Oct,1.71,26.03
11.71458333,11.695,10.83208333,18.78291667,13.93416667,18.35583333,15.56708333,14.29291667,14.19333333,10.85708333,12.44208333,7.14,9.18,6.15,11.2,8.43,11.07,9.39,9.34,11.42,8.9,10.97,15.81,13.18,15.3,24.2,19.62,26.14,20.2,16.7,16.07,13.34,14.78,9-Oct,1.71,26.03
14.65958333,10.22791667,10.47458333,14.77083333,17.5775,20.05208333,12.0025,11.97583333,11.85125,10.90416667,13.235,8.32,6.35,7.06,10.28,12.07,15.1,8.26,6.52,9.22,8.35,9.34,22.15,13.1,13.98,21.68,22.35,25.82,14.57,17.39,14.84,13.83,17.89,10-Oct,1.71,26.03
17.75958333,11.28541667,9.627916667,13.33541667,14.61833333,17.50916667,10.2525,15.72416667,12.58666667,12.23958333,12.0475,13.25,9.49,6.95,9.17,10.57,12.51,7.15,9.2,6.77,8.67,8.52,22.21,13.73,12.26,17.87,18.24,22.43,13.23,22.12,18.62,16.93,15.16,11-Oct,1.71,26.03
