yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,hour
16.825168539325844,16.645444444444443,17.067252747252745,16.344555555555555,16.968,17.22533333333333,16.978571428571428,16.549,17.62822222222222,16.704333333333334,15.751428571428573,0
15.896516853932583,15.886666666666667,16.10197802197802,15.381777777777776,16.169333333333334,16.502666666666666,16.324065934065935,15.95288888888889,16.982444444444447,16.057444444444446,15.265274725274727,1
15.767865168539325,15.832777777777778,15.981648351648351,15.241888888888889,16.01311111111111,16.416666666666668,16.234725274725275,15.895444444444443,16.899333333333335,15.987222222222222,15.093186813186813,2
15.72752808988764,15.780444444444445,15.934505494505494,15.12088888888889,15.817,16.231777777777776,16.02989010989011,15.664777777777777,16.619333333333334,15.803666666666667,14.893186813186812,3
15.311123595505618,15.402000000000001,15.454395604395604,14.59077777777778,15.411777777777777,15.911,15.728571428571428,15.350555555555555,16.348444444444443,15.507444444444445,14.783076923076923,4
15.325955056179776,15.385666666666667,15.416703296703297,14.562555555555555,15.438555555555556,15.902777777777779,15.68868131868132,15.325555555555555,16.358666666666668,15.477333333333334,14.784835164835165,5
15.512696629213481,15.544666666666666,15.661208791208791,14.896777777777778,15.817444444444444,16.282222222222224,15.993956043956045,15.659333333333333,16.732111111111113,15.83611111111111,15.184175824175824,6
15.593370786516854,15.567222222222222,15.801428571428572,15.016333333333334,15.970555555555555,16.418,16.069340659340657,15.815888888888889,16.841555555555555,15.972888888888889,15.721098901098902,7
18.465393258426968,18.033,18.616373626373626,18.172444444444444,18.741555555555557,18.991444444444443,18.445384615384615,18.287222222222223,19.442777777777778,18.564333333333334,17.712197802197803,8
18.80932584269663,18.263222222222222,18.883846153846154,18.637444444444444,19.524333333333335,20.061333333333334,19.433516483516485,19.422777777777778,20.613888888888887,19.777,18.806373626373627,9
21.12977777777778,20.310222222222222,21.204725274725273,21.28911111111111,21.78411111111111,22.054333333333336,21.178351648351647,21.185000000000002,22.461222222222222,21.81588888888889,20.316153846153846,10
22.317333333333334,21.378888888888888,22.294505494505493,22.449555555555555,22.850333333333335,23.02711111111111,21.904945054945053,21.889666666666667,23.211222222222226,22.573444444444444,21.115384615384617,11
22.53911111111111,21.59888888888889,22.555274725274728,22.799333333333333,23.439333333333334,23.79111111111111,22.646153846153847,22.64911111111111,23.881777777777778,23.59888888888889,21.880329670329672,12
23.51222222222222,22.603666666666665,23.694505494505492,24.112222222222222,24.291444444444444,24.633555555555557,23.52373626373626,23.469,24.541888888888888,24.660666666666668,22.517582417582418,13
23.471555555555558,22.69388888888889,23.769560439560443,24.147222222222222,24.285888888888888,24.70922222222222,23.664615384615384,23.517333333333333,24.602333333333334,24.751777777777775,22.536153846153844,14
23.297888888888888,22.635333333333335,23.72714285714286,24.14477777777778,24.253888888888888,24.677333333333333,23.65241758241758,23.56688888888889,24.645333333333333,24.73022222222222,22.396703296703297,15
22.704444444444444,21.898777777777777,23.094945054945054,23.362,23.394444444444446,23.946888888888886,22.894065934065935,22.840111111111113,23.861777777777778,23.954555555555554,21.776813186813186,16
22.50288888888889,21.720444444444443,22.75153846153846,23.005,23.156222222222222,23.78933333333333,22.7589010989011,22.786444444444445,23.81122222222222,23.80511111111111,21.525384615384613,17
22.258,21.577444444444446,22.456043956043956,22.582555555555555,22.548,22.883222222222226,21.92043956043956,21.947333333333333,22.93888888888889,22.781888888888886,20.64802197802198,18
22.157,21.557222222222222,22.383296703296704,22.454444444444444,22.381777777777778,22.61411111111111,21.744945054945056,21.752666666666666,22.732000000000003,22.505333333333333,20.13021978021978,19
19.145444444444443,18.633111111111113,19.275494505494503,18.90188888888889,19.457222222222224,19.944222222222223,19.26186813186813,19.07322222222222,20.323666666666668,19.57188888888889,18.212857142857143,20
18.91522222222222,18.429333333333332,19.04956043956044,18.556,18.860555555555557,19.141000000000002,18.555604395604394,18.200555555555557,19.446333333333335,18.653555555555556,17.422307692307694,21
17.192888888888888,16.972,17.341758241758242,16.732777777777777,17.438666666666666,17.93411111111111,17.536593406593404,17.123444444444445,18.357444444444447,17.482222222222223,16.564945054945056,22
16.99688888888889,16.811333333333334,17.17032967032967,16.59722222222222,17.249444444444446,17.760666666666665,17.406373626373625,16.95488888888889,18.203888888888887,17.299666666666667,16.228791208791208,23
