yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,hour
14.179021739130436,12.73445652173913,13.317608695652174,14.101847826086955,14.272499999999999,12.725108695652175,14.808913043478261,14.04304347826087,13.894782608695651,14.205869565217393,12.920434782608696,0
13.834347826086956,12.43054347826087,13.055978260869566,13.657282608695652,13.90663043478261,12.22804347826087,14.388260869565217,13.556521739130435,13.43804347826087,13.670760869565218,12.531847826086958,1
13.485760869565217,12.062065217391305,12.640434782608697,13.276739130434782,13.637065217391303,12.130326086956522,14.300652173913045,13.464239130434782,13.37445652173913,13.600434782608696,12.382608695652175,2
13.40586956521739,12.01054347826087,12.569565217391306,13.211195652173913,13.509782608695653,11.910869565217391,14.123586956521738,13.208804347826087,13.205108695652173,13.354239130434781,12.096847826086957,3
13.185326086956522,11.82695652173913,12.414021739130433,12.968804347826088,13.319021739130434,11.597608695652173,13.891413043478261,12.9175,12.978369565217392,13.074130434782608,11.844347826086958,4
12.985434782608696,11.652826086956521,12.157282608695652,12.750217391304348,13.173152173913044,11.54586956521739,13.850326086956523,12.907934782608695,12.951521739130435,13.01663043478261,11.77641304347826,5
12.974239130434784,11.614673913043477,12.15913043478261,12.766521739130434,13.186304347826088,11.435108695652174,13.784239130434784,12.791086956521738,12.823152173913044,12.912934782608696,11.72,6
12.958369565217392,11.597173913043479,12.156195652173912,12.751304347826085,13.183478260869567,11.46782608695652,13.777717391304348,12.76945652173913,12.853586956521738,12.91054347826087,11.782717391304347,7
14.857500000000002,13.421847826086957,14.08054347826087,14.883478260869564,14.78554347826087,12.833804347826087,14.998913043478263,14.137608695652174,14.23336956521739,14.20195652173913,12.848478260869564,8
15.046630434782609,13.545108695652175,14.139999999999999,15.071630434782607,15.355652173913043,13.837173913043477,16.042826086956524,15.397065217391305,15.425978260869567,15.432282608695653,13.98804347826087,9
16.23554347826087,14.522391304347826,15.059239130434783,16.479891304347827,16.79804347826087,15.566521739130433,17.76836956521739,17.401521739130434,17.293804347826086,17.422934782608696,15.42532608695652,10
18.180217391304346,16.338260869565215,16.93663043478261,18.44641304347826,18.050978260869567,16.20130434782609,18.371413043478263,17.954891304347825,17.701630434782608,17.92228260869565,16.17369565217391,11
18.819782608695654,16.975652173913044,17.500760869565216,19.067282608695653,18.85423913043478,17.24804347826087,19.344239130434783,19.110434782608696,18.769782608695653,18.982934782608698,17.10086956521739,12
19.32619565217391,17.440108695652174,17.98228260869565,19.645434782608696,19.417826086956524,17.992173913043477,20.01836956521739,19.865652173913045,19.668369565217393,19.885760869565217,17.667934782608697,13
19.61,17.758804347826086,18.38076086956522,20.00086956521739,19.63608695652174,18.12684782608696,20.181413043478262,19.886304347826087,19.819347826086958,19.983804347826087,17.842391304347824,14
19.592065217391305,17.799130434782608,18.415108695652176,20.040652173913042,19.684891304347826,18.198260869565217,20.184565217391306,19.884347826086955,19.957934782608696,20.065434782608694,17.826630434782608,15
19.279021739130435,17.59108695652174,18.18467391304348,19.7775,19.101086956521737,17.36173913043478,19.274347826086956,18.80554347826087,18.93913043478261,19.120217391304347,17.165978260869565,16
17.93184782608696,16.264565217391304,16.788260869565217,18.492391304347827,18.33945652173913,17.094347826086956,19.0075,18.70119565217391,18.83760869565217,18.96586956521739,16.77934782608696,17
17.568586956521738,15.892065217391304,16.48228260869565,18.164891304347826,17.639565217391304,15.935760869565216,18.013478260869565,17.522173913043478,17.631304347826084,17.722065217391304,15.80282608695652,18
17.417608695652174,15.77054347826087,16.424347826086954,18.011847826086957,17.51695652173913,15.729782608695654,17.872391304347826,17.273913043478263,17.459347826086958,17.53728260869565,15.319891304347827,19
15.360326086956523,13.88054347826087,14.411195652173912,15.748804347826088,15.678695652173914,14.114673913043477,16.31869565217391,15.68358695652174,15.660978260869564,15.920760869565218,14.374021739130436,20
15.228369565217392,13.781521739130437,14.286195652173912,15.604021739130435,15.41108695652174,13.672065217391303,15.802282608695652,15.115760869565218,15.060434782608695,15.377282608695653,13.910108695652173,21
14.743695652173914,13.295652173913044,13.893260869565218,14.862934782608697,14.780217391304348,12.965760869565216,15.150434782608695,14.39,14.312608695652173,14.610760869565217,13.43913043478261,22
14.254347826086958,12.725326086956523,13.295760869565218,14.249021739130436,14.434239130434783,12.883260869565218,14.95195652173913,14.261304347826087,14.150652173913043,14.469782608695652,13.207282608695651,23
